promedio_academico,materias_reprobadas,asistencia,condicion_beca,distancia_campus,horas_trabajo_semanales,semestre_actual,modalidad,abandono
5.12,2,0.688,0,7.52,37,2,1,1
5.99,3,0.763,1,44.83,12,3,1,1
8.3,1,0.828,0,23.27,23,7,1,1
6.77,1,1.0,0,20.34,0,3,0,0
7.79,0,0.891,0,7.43,19,6,0,0
7.31,1,0.766,1,1.57,0,7,0,0
5.61,2,0.808,1,0.58,15,7,0,0
7.26,0,0.845,1,49.08,0,2,0,0
6.06,1,0.751,0,1.22,10,5,1,1
6.05,0,0.89,0,25.22,23,3,0,1
6.64,2,0.945,0,23.32,0,7,0,1
4.36,0,1.0,1,5.09,26,5,0,0
8.17,2,1.0,0,16.12,0,4,1,0
5.56,3,0.828,0,10.43,0,3,0,1
7.9,0,0.688,0,5.94,0,3,0,0
6.69,0,0.6,1,30.69,25,2,0,0
8.64,0,0.93,1,14.13,33,2,0,0
5.58,3,0.965,0,24.54,39,5,1,1
6.06,0,1.0,1,28.73,48,5,0,1
6.97,0,0.829,0,2.91,0,1,0,0
3.41,0,0.785,0,0.36,0,4,1,1
7.66,2,0.771,0,41.98,45,8,0,1
8.66,0,0.906,0,40.79,15,4,1,0
8.08,1,0.473,1,7.1,0,7,0,0
7.56,0,0.521,0,8.02,0,9,1,1
6.3,2,0.41,0,10.15,40,3,0,1
8.29,1,0.715,0,2.99,0,7,1,1
8.0,1,0.763,1,32.25,47,4,0,1
7.05,0,0.96,1,0.54,12,1,0,0
6.51,2,0.787,0,8.11,0,3,0,1
5.99,1,0.86,0,26.71,24,3,1,1
4.78,3,0.763,0,7.79,35,2,0,1
8.22,1,0.707,0,10.81,30,9,1,1
3.46,3,0.616,0,5.96,0,2,1,1
5.98,1,0.818,0,5.67,0,8,1,0
6.73,2,0.776,0,16.62,0,2,0,0
7.7,0,0.622,0,2.7,22,7,1,0
8.97,0,0.696,0,5.47,0,1,1,0
7.89,1,0.62,0,1.11,0,6,1,1
6.09,2,0.653,1,11.43,22,5,1,1
7.52,3,0.967,0,0.36,24,8,0,0
4.73,2,0.837,0,6.47,20,2,0,1
8.5,0,0.859,1,1.48,27,9,1,0
6.28,0,0.638,0,0.95,42,2,0,0
5.56,4,0.694,1,14.95,42,5,1,1
5.61,1,0.963,1,5.12,33,8,0,0
6.41,3,0.678,0,8.51,31,2,0,1
5.95,5,0.687,0,4.91,33,3,1,1
9.71,0,0.88,0,11.48,0,5,0,0
5.49,1,0.957,0,2.75,13,2,0,0
6.55,0,0.965,1,1.4,14,7,0,0
6.54,4,0.813,0,29.26,0,4,0,1
6.54,0,0.687,0,1.19,13,5,1,1
6.58,0,0.834,1,1.77,15,9,1,0
5.83,0,0.857,1,1.01,0,9,0,0
5.68,1,0.748,0,40.88,0,1,1,0
5.29,2,0.745,1,9.86,11,6,1,1
4.42,3,0.895,0,35.49,33,1,0,1
6.8,1,1.0,1,3.58,27,2,1,0
7.88,0,0.529,0,3.72,12,8,1,0
5.74,0,0.786,0,20.01,0,1,0,0
5.72,4,0.543,1,10.79,37,8,1,1
6.06,1,0.791,1,76.34,46,8,0,1
5.86,2,0.734,0,77.08,35,3,0,1
4.49,4,1.0,1,0.41,0,8,1,0
8.41,0,0.862,0,8.26,0,1,0,0
7.11,1,0.621,0,3.26,32,3,1,1
5.5,1,1.0,0,12.88,34,4,0,0
6.92,1,0.549,0,28.49,14,8,1,1
5.89,2,0.885,0,28.98,0,7,0,1
6.2,0,1.0,1,61.12,19,9,0,0
7.01,0,0.841,0,8.21,33,5,0,0
7.83,4,0.89,1,20.89,0,5,0,0
8.63,0,0.863,1,8.11,22,4,1,0
8.89,1,0.763,0,14.31,0,5,1,0
6.15,4,0.827,0,9.19,0,9,0,1
5.8,4,0.559,0,7.71,15,2,0,1
6.64,2,0.87,0,20.1,40,6,1,1
6.68,1,0.681,0,7.51,22,7,1,1
5.47,1,0.912,1,2.59,0,5,0,0
5.63,0,0.737,0,27.73,17,2,1,1
7.64,0,0.769,0,8.49,25,8,0,1
8.8,1,0.753,0,31.57,19,5,1,0
6.18,0,0.663,0,34.37,38,2,0,1
5.59,0,0.865,1,42.67,0,4,0,0
6.1,1,0.746,0,15.16,0,2,0,0
5.11,1,0.628,0,11.08,16,7,0,1
6.12,5,0.716,0,10.44,32,4,0,1
7.09,1,0.757,0,8.53,28,4,1,1
6.39,0,0.844,0,18.89,0,4,1,1
8.23,0,0.814,1,10.47,39,4,0,0
6.71,0,0.714,0,10.27,26,5,0,0
7.17,0,0.825,0,34.39,36,2,1,1
6.29,1,1.0,1,10.35,0,9,0,0
8.34,1,0.742,0,10.06,0,4,1,0
4.79,1,0.359,0,1.55,0,4,1,1
6.07,1,0.611,0,2.64,30,7,0,1
4.86,4,0.684,1,12.46,19,1,0,1
7.66,2,0.959,0,40.57,27,4,0,0
7.69,1,0.965,0,11.98,34,6,1,1
